state_code,state_name,state_abbr,white_median,white_n,white_excluded,black_median,black_n,black_excluded
01,Alabama,AL,11.759668508287293,430,21268,11.222222222222221,67,10433
02,Alaska,AK,12.123194221508829,2619,119,12.040816326530612,91,6
03,Arizona,AZ,11.881102228270114,14457,154,11.316,614,8
04,Arkansas,AR,11.803125,379,12347,9.871428571428572,170,4007
05,California,CA,12.228476821192054,376,154656,12.214285714285714,14,15502
06,Colorado,CO,12.05391459074733,18541,190,11.816225165562914,679,4
07,Connecticut,CT,12.22791519434629,616,21652,11.833333333333334,16,2445
08,Delaware,DE,12.1,12,4013,11.0,3,972
09,District of Columbia,DC,13.833333333333334,24,1143,11.961538461538462,24,6085
10,Florida,FL,12.25974025974026,185,40201,10.0,32,13059
11,Georgia,GA,11.763565891472869,572,30230,11.84375,43,14274
12,Hawaii,HI,12.252608047690014,2836,12,12.189655172413794,60,3
13,Idaho,ID,12.092592592592592,172,6339,,0,14
14,Illinois,IL,11.955816853732406,78189,543,11.38575078058473,18211,110
15,Indiana,IN,11.857226792009401,39600,3009,11.427939317319849,3670,447
16,Iowa,IA,12.038253686404694,23054,90,11.5,350,5
17,Kansas,KS,12.063204460065446,17076,80,11.74160447761194,1247,3
18,Kentucky,KY,11.624898867313917,25048,1076,11.34508547008547,2477,55
19,Louisiana,LA,11.911219418960245,22760,778,11.037195671776376,13439,294
20,Maine,ME,11.874807395993837,7999,379,11.839285714285714,45,1
21,Maryland,MD,12.096491228070175,262,26327,11.818181818181818,25,7624
22,Massachusetts,MA,12.086339800734137,41759,1171,11.557486631016042,1910,80
23,Michigan,MI,11.978007232047009,68517,1714,11.629888888888889,10281,1843
24,Minnesota,MN,12.12979885217585,31364,673,11.852409638554217,353,19
25,Mississippi,MS,11.876473020467232,11826,178,10.079384615384615,11251,170
26,Missouri,MO,11.92244092058987,32931,572,11.26043643263757,5637,66
27,Montana,MT,12.090646889163576,5313,105,12.2,14,0
28,Nebraska,NE,12.104568854568855,11654,76,11.322115384615385,491,1
29,Nevada,NV,11.991978609625669,3866,74,11.528735632183908,422,5
30,New Hampshire,NH,11.96156462585034,6122,172,11.96875,31,3
31,New Jersey,NJ,11.99377421140011,42684,5766,11.515733814805262,9000,791
32,New Mexico,NM,11.96875,101,9135,,0,224
33,New York,NY,11.98362345586646,123243,4245,11.548243581425526,25079,1049
34,North Carolina,NC,11.820786755341729,33028,280,11.11328125,12638,144
35,North Dakota,ND,12.190844481605351,5047,79,12.047619047619047,33,1
36,Ohio,OH,11.916269083969466,83121,1057,11.588048940353943,10366,150
37,Oklahoma,OK,11.940257012232793,17628,775,11.632871536523929,1861,63
38,Oregon,OR,12.069838056680162,8170,8185,11.753968253968253,140,129
39,Pennsylvania,PA,12.062403697996919,1158,80327,11.617647058823529,42,10773
40,Rhode Island,RI,11.900514061082552,7173,153,10.744444444444444,286,12
41,South Carolina,SC,11.786908925041812,15608,532,10.788836846213895,8876,238
42,South Dakota,SD,12.116089207487057,5042,45,12.1,14,0
43,Tennessee,TN,11.703838127211688,27179,465,11.048451151707704,7205,93
44,Texas,TX,11.731382978723405,529,96262,11.946428571428571,57,16043
45,Utah,UT,12.241261633919338,11522,247,12.083333333333334,52,4
46,Vermont,VT,12.001678791270285,3891,45,12.5,4,1
47,Virginia,VA,11.913104854521213,30059,2366,10.86217457886677,8754,204
48,Washington,WA,12.191304347826087,243,27573,12.0,3,835
49,West Virginia,WV,11.66331826552821,13429,346,11.515555555555556,563,17
50,Wisconsin,WI,12.054504329214904,34815,143,11.41442542787286,1780,13
51,Wyoming,WY,12.039819376026273,2839,30,11.2,27,1
